,State,Year,Enroll,Total_Revenue,Total_Expenditure,Expenditure_Per_Pupil,Population,GDP_Per_Capita,State_Tax_Collection,Income_Per_Capita,Known_Property_Crimes,Unemployment_Rate
0,Alabama,1992,,2678885,2653798,3616.0,4139269.0,,164779000.0,17537.0,163966.0,
1,Alaska,1992,,1049591,972488,8450.0,587073.0,,200025000.0,23938.0,28394.0,
2,Arizona,1992,,3258079,3401580,4381.0,3867333.0,,210824000.0,18129.0,235883.0,
3,Arkansas,1992,,1711959,1743022,4031.0,2394098.0,,125525000.0,16451.0,100069.0,
4,California,1992,,26260025,27138832,4746.0,30875920.0,,4518418000.0,22644.0,1715360.0,
5,Colorado,1992,,3185173,3264826,5172.0,3459995.0,,123458000.0,21377.0,178890.0,
6,Connecticut,1992,,3834302,3721338,8012.0,3274997.0000000005,,593720000.0,28558.0,149554.0,
7,Delaware,1992,,645233,638784,6093.0,690158.0,,128737000.0,22920.0,23237.0,
8,District of Columbia,1992,,709480,742893,9549.0,,,,,,
9,Florida,1992,,11506299,11305642,5243.0,13504775.0,,695114000.0,20986.0,951357.0,
10,Georgia,1992,,5536901,5535942,4419.0,6759474.0,,375286000.0,19262.0,366025.0,
11,Hawaii,1992,,996809,1040121,5420.0,1149926.0000000002,,67768000.0,24533.0,67901.0,
12,Idaho,1992,,859329,886161,3556.0,1066490.0,,68171000.0,17429.0,41122.0,
13,Illinois,1992,,9748650,9850560,5670.0,11635197.0,,970531000.0,22792.0,523168.0,
14,Indiana,1992,,5060274,5182754,5074.0,5648649.0,,672100000.0,19311.0,188705.0,
15,Iowa,1992,,2663934,2795774,5096.0,2806923.0,,192818000.0,19130.0,61842.0,
16,Kansas,1992,,2245348,2234915,5007.0,2526042.0,,198998000.0,20147.0,119488.0,
17,Kentucky,1992,,2642902,2518082,4719.0,3756357.9999999995,,271027000.0,17361.0,104463.0,
18,Louisiana,1992,,3341253,3362853,4352.0,4270849.0,,232061000.0,16909.0,203175.0,
19,Maine,1992,,1206819,1228869,5652.0,1235748.0,,69921000.0,18589.0,40809.0,
20,Maryland,1992,,4658498,4698374,6679.0,4902545.0,,216946000.0,24488.0,256374.0,
21,Massachusetts,1992,,5517659,5245560,6408.0,5993474.0,,756781000.0,24639.0,204465.0,
22,Michigan,1992,,9963137,10170688,6268.0,9470323.0,,1729549000.0,20167.0,448115.0,
23,Minnesota,1992,,4684684,4981125,5409.0,4471503.0,,422812000.0,21426.0,189702.0,
24,Mississippi,1992,,1684706,1691990,3245.0,2610192.9999999995,,146308000.0,14827.0,70689.0,
25,Missouri,1992,,4043682,4197600,4830.0,5193686.0,,229730000.0,19629.0,212858.0,
26,Montana,1992,,828983,781009,5319.0,822436.0,,57683000.0,17082.0,31413.0,
27,Nebraska,1992,,1542413,1534046,5263.0,1602406.0,,103617000.0,20013.0,57217.0,
28,Nevada,1992,,1097076,1251651,4926.0,1330694.0,,,22572.0,67525.0,
29,New Hampshire,1992,,1063391,1066647,5790.0,1112766.0,,95635000.0,22320.0,30307.0,
30,New Jersey,1992,,10814689,10452340,9317.0,7827770.0,,845823000.0,26742.0,345729.0,
31,New Mexico,1992,,1330091,1339829,3765.0,1580750.0,,77786000.0,16627.0,63961.0,
32,New York,1992,,21630179,22815611,8527.0,,,,,849609.0,
33,North Carolina,1992,,5236099,5418687,4554.0,6831850.0,,643865000.0,19113.0,343589.0,
34,North Dakota,1992,,559481,553732,4441.0,635427.0,,38610000.0,17880.0,17515.0,
35,Ohio,1992,,9285961,9483822,5694.0,11007608.999999998,,641701000.0,20034.0,392927.0,
36,Oklahoma,1992,,2396705,2515272,4076.0,3204174.0000000005,,149142000.0,17357.0,154122.0,
37,Oregon,1992,,2773959,2898210,5913.0,2973934.0,,152161000.0,19440.0,155932.0,
38,Pennsylvania,1992,,11257252,11539253,6613.0,11980819.0,,1623774000.0,21276.0,339172.0,
39,Rhode Island,1992,,883073,863404,6546.0,1000571.0,,48502000.0,21125.0,42044.0,
40,South Carolina,1992,,2842626,2922293,4436.0,3600575.9999999995,,141895000.0,17213.0,178176.0,
41,South Dakota,1992,,551668,593126,4173.0,708698.0,,35222000.0,18226.0,18548.0,
42,Tennessee,1992,,3080490,3132516,3692.0,5013999.0,,295266000.0,18664.0,192499.0,
43,Texas,1992,,16264180,16119084,4632.0,17650479.0,,,18880.0,1103309.0,
44,Utah,1992,,1555799,1547980,3040.0,1821497.9999999998,,76375000.0,16292.0,95778.0,
45,Vermont,1992,,812377,800377,6671.0,570115.0,,30954000.0,19411.0,14436.0,
46,Virginia,1992,,5631293,5744469,4878.0,6383315.0,,273258000.0,22430.0,250211.0,
47,Washington,1992,,4870832,5360834,5271.0,5139010.999999999,,,22139.0,286765.0,
48,West Virginia,1992,,1585099,1587968,5078.0,1805462.0000000002,,182081000.0,16229.0,43401.0,
49,Wisconsin,1992,,4993909,5181471,6139.0,5004635.999999999,,437689000.0,20136.0,200936.0,
50,Wyoming,1992,,629748,624941,5812.0,463491.0,,,19457.0,19711.0,
51,Alabama,1993,727716.0,2827391,2833433,3761.1254483999996,4193114.0000000005,,189506000.0,18082.0,168182.0,
52,Alaska,1993,121156.0,1191398,1126398,8734.5790409,596993.0,,872260000.0,24753.0,27479.0,
53,Arizona,1993,676297.0,3427976,3623946,4509.8162026,3993390.0,,244856000.0,18800.0,256205.0,
54,Arkansas,1993,311432.0,1346909,1376067,4124.2311124,2423743.0,,153926000.0,16986.0,101752.0,
55,California,1993,5129788.0,28043338,28110986,4780.183105100001,31147208.0,,4727879000.0,22964.0,1676961.0,
56,Colorado,1993,539538.0,3058326,3028305,5139.268467600001,3560884.0,,137748000.0,22402.0,173519.0,
57,Connecticut,1993,471918.0,4064158,4079943,7973.4766009,3272325.0,,713381000.0,29468.0,137445.0,
58,Delaware,1993,104355.0,683954,694534,6273.893111,699475.0,,113748000.0,23426.0,19432.0,
59,District of Columbia,1993,80937.0,721151,719440,9419.493083,,,,,,
60,Florida,1993,1980569.0,11370156,11425183,5314.0560767,13713593.0,,755900000.0,21847.0,952811.0,
61,Georgia,1993,893557.0,4716559,4647974,4685.634964,6894092.0,,470710000.0,19986.0,358189.0,
62,Hawaii,1993,177448.0,1062475,1063090,5704.3590874,1161508.0,,53127000.0,25129.0,70505.0,
63,Idaho,1993,231632.0,890835,899819,3690.2653293000003,1101204.0,,83551000.0,18477.0,38558.0,
64,Illinois,1993,1856841.0,10584624,10744695,5898.360949100001,11725983.999999998,,1097305000.0,23351.0,300434.0,
65,Indiana,1993,958052.0,5833420,5668599,5344.1200592000005,5701965.0,,656228000.0,20137.0,177980.0,
66,Iowa,1993,493957.0,2880731,2889377,5256.9562515,2820525.0,,167046000.0,19083.0,74284.0,
67,Kansas,1993,451469.0,2386945,2522542,5441.9854241,2547605.0,,219074000.0,20881.0,38318.0,
68,Kentucky,1993,489281.0,2381148,2283431,4872.125335199999,3792288.0,,254775000.0,17813.0,103412.0,
