state,year,enroll,total_revenue,federal_revenue,state_revenue,local_revenue,total_expenditure,instruction_expenditure,support_services_expenditure,other_expenditure,capital_outlay_expenditure,avg_attendence_elem_secd_schools,teachers_elem_secd_schools,high_school_completers_18_to_24,bachelor_completers_over_25,pupil_teacher_ratio,pub_high_school_graduates,expenditure_per_pupil,edu_expenditure_percent_gov_income,population,gdp_per_capita,state_tax_collection,income_per_capita,known_property_crimes,unemployment_rate
Alabama,2000,730184.0,4885917,425978,3003814,1456125,5003267,2551713,1319053,395909.0,663903,725212.0,48194.4,0.7224769382824509,0.19,15.3543150241522,37819.0,5758.42862776678,0.25,4452173.0,33284,243099000.0,24258,151127.0,0.045750000000000006
Alaska,2000,132822.0,1313510,199520,774194,339796,1386904,717725,417637,46782.0,184546,122412.0,7880.4,0.76927675886687,0.247,16.9224912440993,6615.0,9668.16119334706,,627963.0000000001,57184,438438000.0,31651,21074.0,0.06358333333333334
Arizona,2000,814807.0,5479168,534619,2481089,2463460,5397194,2488932,1573568,270671.0,768425,782851.0,44438.4,0.6924534975290529,0.235,19.750846115071603,38304.0,5478.35967253028,0.19,5160585.999999999,39185,523182000.0,26232,271269.0,0.03975
Arkansas,2000,450751.0,2844855,254735,2126099,464021,2683400,1531232,804253,138220.0,146666,422958.0,31947.4,0.754282030349963,0.16699999999999998,14.0843699330775,27335.0,5627.818516259301,0.195,2678587.9999999995,31834,236969000.0,22784,97501.0,0.042749999999999996
California,2000,5941946.0,46628207,4024940,26877920,15725347,45829753,23514388,12429070,2269603.0,5849441,5957216.0,298021.4,0.7073952230263909,0.266,20.6052786813296,309866.0,6400.55339339719,0.26,33987977.0,48223,6638762000.0,33095,1054010.0,0.04958333333333333
Colorado,2000,707436.0,5073266,266207,2083318,2723741,5444193,2539372,1674044,191201.0,782711,656700.0,41983.4,0.7506749034099279,0.327,17.2570111043889,38924.0,6701.706095629661,0.2,4326920.999999999,51524,334980000.0,34026,145469.0,0.027583333333333335
Connecticut,2000,530363.0,5884078,234321,2298931,3350826,5605280,3189123,1634888,180639.0,369278,533779.0,41044.4,0.78216470518615,0.314,13.696850240227699,31562.0,10121.8600937841,0.13699999999999998,3411777.0,61355,426617000.0,43287,99162.0,0.02408333333333333
Delaware,2000,112743.0,1098555,69540,716375,312640,1040480,571982,313410,42630.0,79176,106444.0,7469.4,0.776153640970926,0.25,15.352772645727901,6108.0,8808.670634324151,0.223,786373.0,68992,240319000.0,34430,29553.0,0.03758333333333333
District of Columbia,2000,70762.0,881423,184825,0,696598,858807,318260,429891,23107.0,87549,65371.0,4949.4,0.793775275986447,0.391,13.925930415808,2695.0,11934.8398219394,,571776.0,138628,,42903,32998.0,0.05599999999999999
Florida,2000,2377271.0,17558787,1398757,8804217,7355813,17180954,7751117,5113323,1151140.0,2792662,2175453.0,132030.4,0.7174017372035599,0.223,18.441366533768,106708.0,6383.032706291519,0.198,16047515.0,38860,1182796000.0,29744,767667.0,0.037166666666666674
Georgia,2000,1422941.0,11197766,710741,5406709,5080316,10884510,5701293,2931538,546396.0,1520834,1326713.0,91043.2,0.7003656342172291,0.243,15.8708942567924,62563.0,6903.24445678907,0.257,8227303.0,45447,712421000.0,28740,325603.0,0.03583333333333333
Hawaii,2000,185860.0,1404895,127042,1247256,30597,1363511,765134,373038,109367.0,115972,171180.0,10927.0,0.858412864426722,0.262,16.871968518349,10437.0,7090.17004907115,0.152,1213519.0,44260,75271000.0,29403,60033.0,0.04258333333333334
Idaho,2000,245226.0,1452222,109898,888384,453940,1467977,798629,425211,59735.0,153472,230828.0,13714.0,0.7730864608110349,0.217,17.8734869476447,16170.0,5644.1016081238,0.28600000000000003,1299430.0,34851,125860000.0,25087,37927.0,0.046999999999999986
Illinois,2000,2003839.0,17595047,1283052,6344130,9967865,18073190,8738312,5245226,716792.0,2467748,1789089.0,127620.0,0.759927320533193,0.261,16.0538473593481,111835.0,8083.875697072641,0.209,12434161.0,49145,2261293000.0,33202,199349.0,0.04333333333333333
Indiana,2000,987214.0,8489991,426266,4300608,3763109,8518477,4143020,2373445,375026.0,841171,929281.0,59226.0,0.764925512816548,0.19399999999999998,16.7032553270523,57012.0,7652.077656812091,0.262,6091866.0,41205,924623000.0,28159,167958.0,0.03141666666666667
Iowa,2000,497301.0,3822452,217060,1879158,1726234,3974813,1906755,1104075,260900.0,353405,471384.0,34636.0,0.81449952034991,0.212,14.2937983600878,33926.0,6925.00392673489,0.198,2929067.0,39747,214605000.0,27512,84001.0,0.026249999999999996
Kansas,2000,469377.0,3518271,221530,2201788,1094953,3327090,1661540,1092448,209338.0,206141,426853.0,32742.0,0.783083506346221,0.258,14.3732820230896,29102.0,6962.147739385689,0.295,2693680.9999999995,39923,272432000.0,28404,86199.0,0.03608333333333333
Kentucky,2000,646467.0,4330089,426956,2612740,1290393,4510972,2345581,1284053,260400.0,515109,565693.0,39589.0,0.749331932030155,0.171,16.819065902144498,36830.0,6784.234837623941,0.209,4049020.9999999995,35513,306450000.0,24819,45650.0,0.04166666666666667
Louisiana,2000,750755.0,4785331,556240,2361704,1867387,4807097,2601684,1384760,307212.0,414669,701957.0,49915.2,0.72314784603888,0.187,14.8870284001667,38430.0,6255.63778123162,0.205,4471885.0,40679,222008000.0,23692,199945.0,0.053
Maine,2000,209012.0,1792390,104497,761317,926576,1842276,1053067,474866,77649.0,143112,194554.0,16559.0,0.78901895206243,0.22899999999999998,12.5029893109487,12211.0,8246.7464148771,0.198,1277072.0,36503,150046000.0,27345,31880.0,0.03358333333333334
Maryland,2000,846582.0,7419047,409021,2804218,4205808,7355698,3874590,2189499,300044.0,760810,791133.0,52433.0,0.796279990703329,0.314,16.2668548433239,47849.0,8273.116065187522,0.175,5311034.000000001,45619,431109000.0,35487,214440.0,0.03583333333333334
Massachusetts,2000,958907.0,9464271,480898,3926522,5056851,9466363,5624037,2503616,323913.0,533702,913502.0,67432.0,0.822121047503255,0.332,14.461235021948,52950.0,9374.95340240087,0.16699999999999998,6361104.0,54736,1306353000.0,38547,158753.0,0.027083333333333334
Michigan,2000,1700074.0,15939477,1030238,9942275,4966964,16580526,7709336,5109653,742727.0,1866666,1574894.0,97031.0,0.764559504811229,0.218,17.732745205140603,97679.0,8885.863950843679,0.313,9952450.0,42225,2382496000.0,30391,343233.0,0.036500000000000005
Minnesota,2000,839839.0,7344747,330914,4265438,2748395,7736391,3825732,1942294,531329.0,901829,818819.0,53457.0,0.792880845933055,0.27399999999999997,15.981817161456899,57372.0,7499.144655900749,0.248,4933692.0,47577,803357000.0,32247,155293.0,0.03141666666666667
Mississippi,2000,499362.0,2743284,368830,1504225,870229,2996474,1524728,810371,183118.0,421075,468746.0,31006.0,0.7132734534129319,0.16899999999999998,16.057246984454597,24232.0,5355.514521723921,0.217,2848353.0,29166,227716000.0,21535,84888.0,0.053583333333333344
Missouri,2000,913517.0,6675260,437898,3097822,3139540,6708608,3459281,1913563,374060.0,756817,836105.0,64735.0,0.7649545210341391,0.21600000000000003,14.099698771916302,52848.0,6764.13928035354,0.24,5607285.0,41920,265467000.0,27982,208785.0,0.035833333333333335
Montana,2000,157381.0,1104935,130928,487115,486892,1051768,613132,327975,41385.0,57419,142313.0,10411.0,0.785612518976994,0.244,14.8760925943713,10903.0,6990.017377189721,0.20600000000000002,903773.0,31899,99772000.0,23315,16894.0,0.0495
Nebraska,2000,287566.0,2263952,152143,812998,1298811,2165529,1188826,570910,94639.0,243866,261767.0,20983.0,0.7996812054562029,0.237,13.639565362436302,20149.0,7359.59848644023,0.16699999999999998,1713820.0,41761,140022000.0,28890,62336.0,0.028333333333333335
Nevada,2000,325610.0,2252416,110210,1378678,763528,2437438,1114489,695694,69965.0,428541,305067.0,18293.1,0.6670086907765629,0.182,18.6248366870569,14551.0,6147.72036306779,0.16899999999999998,2018741.0,49607,,31903,74823.0,0.04166666666666667
New Hampshire,2000,203178.0,1586869,54657,865318,666894,1640395,902062,445733,49746.0,130011,200283.0,14341.0,0.7776633170712741,0.287,14.5360156195523,11829.0,7082.49456019732,0.287,1239882.0,44460,312176000.0,35460,16151.0,0.026750000000000003
New Jersey,2000,1279542.0,15651060,578978,6093162,8978920,15907248,8244717,5041897,568802.0,1320024,1222438.0,99061.0,0.7632907060972299,0.298,13.258547763499301,74420.0,10902.51189999,0.225,8430621.0,53701,1347336000.0,39411,233637.0,0.037
New Mexico,2000,324489.0,2191695,296222,1571088,324385,2165031,1048533,727644,101479.0,255735,323963.0,21042.4,0.705026687118301,0.235,15.2219328593697,18031.0,5834.8466182866605,0.276,1821204.0,37773,159338000.0,22973,78964.0,0.04924999999999999
