STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,TOTAL_KNOWN_EXPENDITURE,UNKNOWN_EXPENDITURE,REV_PER_ENROLL
Alabama,1992,720380.0,2678885,304177,1659028,715680,2653798,1481703,735036,145302.05239931354,174053,2536094.0523993135,117703.94760068646,3.7187109581054445
Alaska,1992,117599.95451348182,1049591,106780,720711,222100,972488,498362,350902,36864.7888198758,37451,923579.7888198758,48908.2111801242,8.925096989554307
Arizona,1992,639006.437628787,3258079,297888,1369815,1590376,3401580,1435908,1007732,175921.377739331,609114,3228675.3777393308,172904.62226066925,5.098663813294304
Arkansas,1992,312741.80488538416,1711959,178571,958785,574603,1743022,964323,483488,79056.30753941194,145212,1672079.3075394118,70942.69246058818,5.474033126551185
California,1992,8496892.0,26260025,2072470,16546514,7641041,27138832,14358922,8520926,1615983.7747192774,2044688,26540519.774719276,598312.2252807245,3.090544754481992
Colorado,1992,553584.9211206082,3185173,163253,1307986,1713934,3264826,1642466,1035970,98045.16951390961,364760,3141241.1695139096,123584.83048609039,5.7537206641256295
Connecticut,1992,467024.82887183875,3834302,143542,1342539,2348221,3721338,2148041,1142600,108387.0,48542,3447570.0,273768.0,8.210060285793096
Delaware,1992,108366.0,645233,45945,420942,178346,638784,372722,194915,24399.007712082268,30595,622631.0077120822,16152.992287917761,5.9542015023162245
District of Columbia,1992,81225.02669404517,709480,64749,0,644731,742893,329160,316679,-33761.0,47272,659350.0,83543.0,8.734746282970615
Florida,1992,1930113.639213832,11506299,788420,5683949,5033930,11305642,5166374,3410440,811427.8497920111,1667826,11056067.849792011,249574.15020798892,5.961461939975052
Georgia,1992,493988.0840984555,5536901,398701,2798674,2339526,5535942,3043984,1559059,71534.49159666244,526644,5201221.491596662,334720.50840333756,11.208571984291941
Hawaii,1992,172767.8501790997,996809,71273,903443,22093,1040121,536115,291376,104798.0,126212,1058501.0,-18380.0,5.769644056846563
Idaho,1992,225266.44464609819,859329,69138,531912,258279,886161,473505,246320,36784.99815157114,111353,867962.9981515711,18198.00184842886,3.8147226114836466
Illinois,1992,1839924.3358134925,9748650,597077,3073178,6078395,9850560,5010400,3148849,400222.7810218977,727858,9287329.781021897,563230.2189781033,5.298397227671753
Indiana,1992,951816.4613768961,5060274,257044,2578149,2225081,5182754,2598925,1478639,277334.51649261615,536404,4891302.516492616,291451.4835073836,5.3164388359913595
Iowa,1992,488846.75737704895,2663934,125665,1176205,1362064,2795774,1446478,800570,110603.82660665538,222086,2579737.8266066555,216036.1733933445,5.449425530187776
