year,enroll,total_revenue,federal_revenue,state_revenue,local_revenue,total_expenditure,instruction_expenditure,support_services_expenditure,other_expenditure,capital_outlay_expenditure,total_known_expenditure,unknown_expenditure,rev_per_enroll,population,known_property_crimes,expenditure_per_pupil,gdp_per_capita,income_per_capita,unemployment_rate,dollar_index
1992,43336551.69229348,233210984,15148508,106504038,111558438,237333143,125154024,69877598,12243168.779987859,20655398,227930188.77998787,9402954.220012149,309.53457135479044,255043081.0,11990945.0,275663.0,2602457.716202479,1037669,3.4939166666666672,87.78541666666666
1993,40904771.0,243206654,15739744,112674291,114792619,244202408,129561976,72413365,12659974.0,20890815,235526130.0,8676278.0,299.7215356199311,257801551.0,11380141.0,284288.7381669,2310653.8486413294,1072616,3.2182499999999994,89.12841666666667
1994,40870582.0,250750573,16688390,113508868,120553315,252664869,133930062,75321616,13408752.0,20611622,243272052.0,9392817.0,309.5073390636616,260351278.0,11293856.0,294100.08725529996,2141183.931888599,1117272,2.865,88.95691666666666
1995,43807625.0,279277709,18085196,130307103,130885410,281831835,149485905,82430356,15061557.0,24304092,271281910.0,10549925.0,322.7725300473262,262832520.0,11082236.0,304854.95672530006,2067656.9772961992,1164236,2.67475,86.51183333333331
1996,44570461.0,292952786,18604617,139602106,134746063,297740499,156920519,85717821,15479323.0,27771656,285889319.0,11851180.0,332.0756425774989,265262676.0,10414922.0,312881.1029404,2063681.9962160336,1221865,2.6229999999999998,88.51566666666666
1997,45307367.0,311885259,19736543,149946399,142202317,315861220,165523905,89870126,15569010.0,32434149,303397190.0,12464030.0,346.3851019137431,267822591.0,10513131.0,324390.25286460004,2102868.0,1278278,2.4131666666666667,93.22666666666667
1998,45772962.0,331730773,21789839,160178264,149762670,336384794,174817066,95572187,16266761.0,35873565,322529579.0,13855215.0,364.6790691098726,270291807.0,9949251.0,338165.7370020001,2158824.0,1355438,2.237833333333333,101.20049999999999
1999,46160175.0,354681711,24214071,172904755,157562885,360474429,185292396,101981137,17071405.0,40480233,344825171.0,15649258.0,387.39022083164326,272742026.0,9345709.0,356545.5145754999,2226342.0,1408253,2.0995833333333334,100.32641666666667
2000,46432782.0,379602220,26672292,186191266,166738654,386177409,198033848,108952594,17969490.0,44654247,369610179.0,16567230.0,411.370298483454,282162141.0,9403713.0,377148.5161473211,2278568.0,1504518,1.991666666666667,104.14491666666665
2001,46731110.0,408404990,28625219,200833658,178946113,417014891,212719094,118193372,19202023.0,48926998,399041487.0,17973404.0,439.93347780804334,284972679.0,9726720.0,402465.5943023,2290954.0,1558895,2.3123333333333336,110.13225
2002,47114728.0,426548936,32703469,207374637,186470830,442685445,224842230,125079958,20239470.0,52921115,423082773.0,19602672.0,461.8637615519456,287631771.0,9857241.0,424078.7007089,2318210.0,1579489,2.7330833333333344,110.13091666666666
2003,47603240.0,447668013,36805859,215551319,195310835,462275098,236429160,132947081,20894960.0,50509424,440780625.0,21494473.0,478.5595057209275,290117275.0,9801137.0,442115.33428410004,2364618.0,1628293,2.855583333333333,103.44100000000002
2004,47854683.0,470489151,41300957,218098876,211089318,481241595,245192668,138496636,21542747.0,52268699,457500750.0,23740845.0,502.6942661394354,292817434.0,9812534.0,460720.97414753307,2428890.0,1709863,2.6597500000000003,98.79808333333334
2005,48055258.0,496839635,44355247,229525854,222958534,506626625,258338409,146327500,22501553.0,54222129,481389591.0,25237034.0,533.133238849625,295531512.0,9621575.0,483886.8786184774,2477960.0,1787268,2.5103333333333344,97.14591666666666
2006,48301028.0,529971381,47100781,242785457,240085143,536742833,271842769,156003270,23641773.0,58808961,510296773.0,26446060.0,566.3506263268653,298393072.0,9451231.0,512940.90348398976,2522434.0,1898079,2.280416666666666,96.03508333333332
2007,48404572.0,565776634,46433350,264548749,254794535,569654941,288131163,165053309,24981620.0,64092645,542258737.0,27396204.0,604.6231133309556,301242719.0,9341896.0,542191.1245938848,2539911.0,1988709,2.22325,91.45233333333333
2008,48401417.0,591836483,47071391,280926633,263838459,604581544,304751166,175908711,26111538.0,68653127,575424542.0,29157002.0,635.7200696222741,304103659.0,9448578.0,577840.95744563,2524498.0,2069012,2.7436666666666665,87.59308333333335
2009,48258715.0,600684313,55900112,276153850,268630351,616770225,311891097,178693645,27123557.0,68044563,585752862.0,31017363.0,645.3396734468072,306779276.0,9337060.0,595308.6214817541,2451507.0,1993647,4.327583333333333,91.18033333333334
2010,48266209.0,602881374,73967088,257746984,271167302,614739370,317219720,178915006,27147992.0,59356069,582638787.0,32100583.0,663.2105855416994,309338421.0,9112625.0,606212.9061814862,2480287.0,2039350,4.461333333333333,86.92525
2011,48275975.0,609555659,73706700,266249667,269599292,607600935,317911967,179399009,27127741.0,52341659,576780376.0,30820559.0,667.4188316953621,311644280.0,9052743.0,609955.7637643341,2500205.0,2153045,4.161416666666667,82.45074999999999
2012,48214349.0,604716747,59532214,270431959,274752574,604805382,316590722,179847962,27121117.0,50202327,573762128.0,31043254.0,670.7984713950457,313993272.0,9001992.0,609806.9032844367,2515638.0,2241122,3.760166666666667,84.17566666666664
2013,48297621.0,608067328,54388642,273802559,279876127,608403723,322188472,181684668,27800242.0,46987318,578660700.0,29743023.0,674.4598476524166,316234505.0,8650761.0,617402.9045867403,2514832.0,2247856,3.4490833333333337,84.25091666666667
2014,48378984.0,628641027,52901812,288836201,286903014,624718207,330572268,187733965,28386207.0,47600601,594293041.0,30425166.0,695.6334067762893,318622525.0,8277829.0,634281.1661479281,2547251.0,2342936,2.9493333333333323,86.07508333333332
2015,48514436.0,653669669,53306749,302632386,297730534,650900851,344294024,194409602,28992510.0,52142141,619838277.0,31062574.0,720.5217971903169,321039839.0,1654867.271231417,654246.4829796168,2582848.0,2426994,2.570583333333332,95.32424999999999
