year,enroll,total_revenue,federal_revenue,state_revenue,local_revenue,total_expenditure,instruction_expenditure,support_services_expenditure,other_expenditure,capital_outlay_expenditure,total_known_expenditure,unknown_expenditure,rev_per_enroll,population,known_property_crimes,expenditure_per_pupil,gdp_per_capita,income_per_capita,unemployment_rate,dollar_index
1992,43336551.69229348,233210984,15148508,106504038,111558438,237333143,125154024,69877598,12243168.779987859,20655398,227930188.77998787,9402954.220012149,309.53457135479044,255043081.0,11990945.0,5405.156862745098,51028.58267063684,20346.450980392157,0.06850816993464054,87.78541666666666
1993,40904771.0,243206654,15739744,112674291,114792619,244202408,129561976,72413365,12659974.0,20890815,235526130.0,8676278.0,299.7215356199311,257801551.0,11380141.0,5574.2889836647055,45306.93820865352,21031.686274509804,0.06310294117647057,89.12841666666667
1994,40870582.0,250750573,16688390,113508868,120553315,252664869,133930062,75321616,13408752.0,20611622,243272052.0,9392817.0,309.5073390636616,260351278.0,11293856.0,5766.668377554901,41983.99866448233,21907.29411764706,0.0561764705882353,88.95691666666666
1995,43807625.0,279277709,18085196,130307103,130885410,281831835,149485905,82430356,15061557.0,24304092,271281910.0,10549925.0,322.7725300473262,262832520.0,11082236.0,5977.548171084315,40542.293672474494,22828.156862745098,0.05244607843137255,86.51183333333331
1996,44570461.0,292952786,18604617,139602106,134746063,297740499,156920519,85717821,15479323.0,27771656,285889319.0,11851180.0,332.0756425774989,265262676.0,10414922.0,6134.923587066667,40464.35286698105,23958.13725490196,0.051431372549019604,88.51566666666666
1997,45307367.0,311885259,19736543,149946399,142202317,315861220,165523905,89870126,15569010.0,32434149,303397190.0,12464030.0,346.3851019137431,267822591.0,10513131.0,6360.5931934235305,41232.705882352944,25064.274509803923,0.04731699346405229,93.22666666666667
1998,45772962.0,331730773,21789839,160178264,149762670,336384794,174817066,95572187,16266761.0,35873565,322529579.0,13855215.0,364.6790691098726,270291807.0,9949251.0,6630.700725529414,42329.882352941175,26577.21568627451,0.04387908496732026,101.20049999999999
1999,46160175.0,354681711,24214071,172904755,157562885,360474429,185292396,101981137,17071405.0,40480233,344825171.0,15649258.0,387.39022083164326,272742026.0,9345709.0,6991.088521088233,43653.76470588235,27612.803921568626,0.041168300653594773,100.32641666666667
2000,46432782.0,379602220,26672292,186191266,166738654,386177409,198033848,108952594,17969490.0,44654247,369610179.0,16567230.0,411.370298483454,282162141.0,9403713.0,7395.0689440651195,44677.80392156863,29500.352941176472,0.03905228758169935,104.14491666666665
2001,46731110.0,408404990,28625219,200833658,178946113,417014891,212719094,118193372,19202023.0,48926998,399041487.0,17973404.0,439.93347780804334,284972679.0,9726720.0,7891.482241221569,44920.666666666664,30566.56862745098,0.045339869281045754,110.13225
2002,47114728.0,426548936,32703469,207374637,186470830,442685445,224842230,125079958,20239470.0,52921115,423082773.0,19602672.0,461.8637615519456,287631771.0,9857241.0,8315.26864135098,45455.098039215685,30970.37254901961,0.053589869281045775,110.13091666666666
2003,47603240.0,447668013,36805859,215551319,195310835,462275098,236429160,132947081,20894960.0,50509424,440780625.0,21494473.0,478.5595057209275,290117275.0,9801137.0,8668.928123217647,46365.05882352941,31927.313725490196,0.055991830065359474,103.44100000000002
