year,enroll,total_revenue,federal_revenue,state_revenue,local_revenue,total_expenditure,instruction_expenditure,support_services_expenditure,other_expenditure,capital_outlay_expenditure,total_known_expenditure,unknown_expenditure,rev_per_enroll,population,known_property_crimes,teachers_elem_secd_schools,pub_high_school_graduates,avg_attendence_elem_secd_schools,pupil_teacher_ratio,high_school_completers_18_to_24,bachelor_completers_over_25,expenditure_per_pupil,gdp_per_capita,income_per_capita,unemployment_rate,expenditure_per_pupil,dollar_index
2000,46432782.0,379602220,26672292,186191266,166738654,386177409,198033848,108952594,17969490.0,44654247,369610179.0,16567230.0,411.370298483454,282162141.0,9403713.0,2941460.7,2553844.0,858955.4117647059,15.631363970808122,0.765741331692123,0.2407647058823529,7395.0689440651195,44677.80392156863,29500.352941176472,0.03905228758169935,7395.0689440651195,104.14491666666665
2001,46731110.0,408404990,28625219,200833658,178946113,417014891,212719094,118193372,19202023.0,48926998,399041487.0,17973404.0,439.93347780804334,284972679.0,9726720.0,2991227.1926029907,2618187.1735846135,874599.8431372549,15.52710974237671,0.7762610854780356,0.24558999062021897,7891.482241221569,44920.666666666664,30566.56862745098,0.045339869281045754,7891.482241221569,110.13225
2002,47114728.0,426548936,32703469,207374637,186470830,442685445,224842230,125079958,20239470.0,52921115,423082773.0,19602672.0,461.8637615519456,287631771.0,9857241.0,3035176.0572375404,2672161.0795589685,882693.3333333334,15.4376622854966,0.7861770091546777,0.25023255863002125,8315.26864135098,45455.098039215685,30970.37254901961,0.053589869281045775,8315.26864135098,110.13091666666666
2003,47603240.0,447668013,36805859,215551319,195310835,462275098,236429160,132947081,20894960.0,50509424,440780625.0,21494473.0,478.5595057209275,290117275.0,9801137.0,3074395.905570599,2716874.945753839,888739.8235294118,15.359792075163163,0.7954894998220923,0.25469104745098575,8668.928123217647,46365.05882352941,31927.313725490196,0.055991830065359474,8668.928123217647,103.44100000000002
2004,47854683.0,470489151,41300957,218098876,211089318,481241595,245192668,138496636,21542747.0,52268699,457500750.0,23740845.0,502.6942661394354,292817434.0,9812534.0,3109975.349269103,2753438.0,888525.6470588235,15.290269586371728,0.8041989545803246,0.25896409462233866,9033.7445911281,47625.294117647056,33526.72549019608,0.05215196078431373,9033.7445911281,98.79808333333334
2005,48055258.0,496839635,44355247,229525854,222958534,506626625,258338409,146327500,22501553.0,54222129,481389591.0,25237034.0,533.133238849625,295531512.0,9621575.0,3143003.0,2799250.0,894132.725490196,15.225865294117652,0.8123057705294185,0.2630503376833063,9487.978012127007,48587.450980392154,35044.470588235294,0.049222222222222244,9487.978012127007,97.14591666666666
2006,48301028.0,529971381,47100781,242785457,240085143,536742833,271842769,156003270,23641773.0,58808961,510296773.0,26446060.0,566.3506263268653,298393072.0,9451231.0,3163282.9048550134,2815544.0,900619.9411764706,15.172246666666666,0.8198103447694177,0.26694841417311427,10057.664774195879,49459.490196078434,37217.23529411765,0.044714052287581685,10057.664774195879,96.03508333333332
2007,48404572.0,565776634,46433350,264548749,254794535,569654941,288131163,165053309,24981620.0,64092645,542258737.0,27396204.0,604.6231133309556,301242719.0,9341896.0,3178142.0,2893045.0,904562.0196078431,15.110774901960783,0.8267130744003676,0.27065696163098907,10631.198521448721,49802.17647058824,38994.294117647056,0.043593137254901965,10631.198521448721,91.45233333333333
2008,48401417.0,591836483,47071391,280926633,263838459,604581544,304751166,175908711,26111538.0,68653127,575424542.0,29157002.0,635.7200696222741,304103659.0,9448578.0,3222154.0,3001337.0,905017.2549019608,14.950528115713645,0.8330143565223116,0.27417461759615674,11330.214851875098,49499.96078431373,40568.86274509804,0.05379738562091503,11330.214851875098,87.59308333333335
2009,48258715.0,600684313,55900112,276153850,268630351,616770225,311891097,178693645,27123557.0,68044563,585752862.0,31017363.0,645.3396734468072,306779276.0,9337060.0,3209671.6799999997,3039015.0,905362.2941176471,15.036370391990673,0.838714588235294,0.2775000196078432,11672.718068269689,48068.76470588235,39091.117647058825,0.08485457516339869,11672.718068269689,91.18033333333334
2010,48266209.0,602881374,73967088,257746984,271167302,614739370,317219720,178915006,27147992.0,59356069,582638787.0,32100583.0,663.2105855416994,309338421.0,9112625.0,3099094.7099999995,3128022.0,900376.5882352941,15.393067023033101,0.8440623815187277,0.2808431972165994,11886.527572186003,48633.07843137255,39987.25490196078,0.08747712418300653,11886.527572186003,86.92525
2011,48275975.0,609555659,73706700,266249667,269599292,607600935,317911967,179399009,27127741.0,52341659,576780376.0,30820559.0,667.4188316953621,311644280.0,9052743.0,3103262.56,3144100.0,904288.9607843137,15.36853081994705,0.8487732352941179,0.2840067450980392,11959.916936555572,49023.62745098039,42216.56862745098,0.08159640522875818,11959.916936555572,82.45074999999999
2012,48214349.0,604716747,59532214,270431959,274752574,604805382,316590722,179847962,27121117.0,50202327,573762128.0,31043254.0,670.7984713950457,313993272.0,9001992.0,3109101.0799999996,3149185.0,909813.0392156863,15.500293534539837,0.8588602549019604,0.290557,11956.998103616404,49326.23529411765,43943.56862745098,0.07372875816993466,11956.998103616404,84.17566666666664
2013,48297621.0,608067328,54388642,273802559,279876127,608403723,322188472,181684668,27800242.0,46987318,578660700.0,29743023.0,674.4598476524166,316234505.0,8650761.0,3113764.2,3169257.0,912818.7058823529,15.529901188041949,0.8589371176470589,0.29403125490196075,12105.939305622358,49310.43137254902,44075.60784313725,0.06762908496732027,12105.939305622358,84.25091666666667
2014,48378984.0,628641027,52901812,288836201,286903014,624718207,330572268,187733965,28386207.0,47600601,594293041.0,30425166.0,695.6334067762893,318622525.0,8277829.0,3132351.0700000003,3168670.0,917343.9411764706,15.537920347050663,0.8646926862745095,0.18494074509803923,12436.885610743688,49946.098039215685,45939.92156862745,0.0578300653594771,12436.885610743688,86.07508333333332
2015,48514436.0,653669669,53306749,302632386,297730534,650900851,344294024,194409602,28992510.0,52142141,619838277.0,31062574.0,720.5217971903169,321039839.0,1654867.271231417,3166566.352667791,3166240.0,922573.5848342079,15.565403093709385,0.8747550913280643,0.06501892370927756,12828.362411365037,50644.07843137255,47588.117647058825,0.05040359477124181,12828.362411365037,95.32424999999999
