,region_name,indicator,year,value
0,United States,AAC,1990,
1,United States,AAD,1990,
2,United States,AAE,1990,
3,United States,AAF,1990,138330900.0
4,United States,AAH,1990,
5,United States,AAI,1990,
6,United States,AAQ,1990,28544.0
7,United States,AAG,1990,
8,United States,AAK,1990,4890453000.0
9,United States,AAL,1990,19591.0
10,United States,AAM,1990,4297144000.0
11,United States,AAN,1990,17215.0
12,United States,ABA,1990,
13,United States,ABB,1990,729.6
14,United States,ABK,1990,
15,United States,ABL,1990,
16,United States,ABM,1990,
17,United States,ABN,1990,
18,United States,ABO,1990,
19,United States,ABP,1990,
20,United States,ABQ,1990,160.19
21,United States,ABR,1990,276.434
22,United States,ABS,1990,20.2618
23,United States,ABT,1990,
24,United States,ABU,1990,
25,United States,ABV,1990,41216683.0
26,United States,ABW,1990,37799296.0
27,United States,ABX,1990,
28,United States,ABY,1990,
29,United States,ABZ,1990,2320337.0
30,United States,ACA,1990,4979.7054130000015
31,United States,ACB,1990,
32,United States,ACD,1990,
33,Alabama,AAC,1990,
34,Alabama,AAD,1990,
35,Alabama,AAE,1990,
36,Alabama,AAF,1990,2047865.0
37,Alabama,AAH,1990,
38,Alabama,AAI,1990,
39,Alabama,AAQ,1990,24658.0
40,Alabama,AAG,1990,
41,Alabama,AAK,1990,64070364.0
42,Alabama,AAL,1990,15820.0
43,Alabama,AAM,1990,57240396.0
44,Alabama,AAN,1990,14133.0
45,Alabama,ABA,1990,
46,Alabama,ABB,1990,708.6
47,Alabama,ABK,1990,
48,Alabama,ABL,1990,
49,Alabama,ABM,1990,
50,Alabama,ABN,1990,
51,Alabama,ABO,1990,
52,Alabama,ABP,1990,
53,Alabama,ABQ,1990,
54,Alabama,ABR,1990,532.487
55,Alabama,ABS,1990,35.2094
56,Alabama,ABT,1990,
57,Alabama,ABU,1990,
58,Alabama,ABV,1990,721806.0
59,Alabama,ABW,1990,683833.0
60,Alabama,ABX,1990,
61,Alabama,ABY,1990,
62,Alabama,ABZ,1990,40485.0
63,Alabama,ACA,1990,3327.1758
64,Alabama,ACB,1990,
65,Alabama,ACD,1990,
66,Alaska,AAC,1990,
67,Alaska,AAD,1990,
68,Alaska,AAE,1990,
69,Alaska,AAF,1990,338924.0
70,Alaska,AAH,1990,
71,Alaska,AAI,1990,
72,Alaska,AAQ,1990,36137.0
73,Alaska,AAG,1990,
74,Alaska,AAK,1990,12650093.0
75,Alaska,AAL,1990,22863.0
76,Alaska,AAM,1990,11176409.0
77,Alaska,AAN,1990,20200.0
78,Alaska,ABA,1990,
79,Alaska,ABB,1990,524.5
80,Alaska,ABK,1990,
81,Alaska,ABL,1990,
82,Alaska,ABM,1990,
83,Alaska,ABN,1990,
84,Alaska,ABO,1990,
85,Alaska,ABP,1990,
86,Alaska,ABQ,1990,
87,Alaska,ABR,1990,192.666
88,Alaska,ABS,1990,2.7111
89,Alaska,ABT,1990,
90,Alaska,ABU,1990,
91,Alaska,ABV,1990,113903.0
92,Alaska,ABW,1990,98213.0
93,Alaska,ABX,1990,
