,region_name,year,AAC,AAD,AAE,AAF,AAG,AAH,AAI,AAK,AAL,AAM,AAN,AAQ,ABA,ABB,ABK,ABL,ABM,ABN,ABO,ABP,ABQ,ABR,ABS,ABT,ABU,ABV,ABW,ABX,ABY,ABZ,ACA,ACB,ACD
0,Alabama,1990,,,,2047865.0,,,,64070364.0,15820.0,57240396.0,14133.0,24658.0,,708.6,,,,,,,,532.487,35.2094,,,721806.0,683833.0,,,40485.0,3327.1758,,
1,Alabama,1991,,,,2060099.0,,,,67662101.0,16506.0,60675532.0,14802.0,25786.0,,844.2,,,,,,,,509.324,38.8861,,,,,,,,3626.562725,,
2,Alabama,1992,,,,2097425.0,,,,72847428.0,17537.0,65529630.0,15775.0,27221.0,,871.7,,,,,,,,423.711,24.3379,,,,,,,,3616.0,,
3,Alabama,1993,,,,2158752.0,51910.0,,,76199461.0,18082.0,68466349.0,16247.0,27833.0,,780.4,,,,,,,,374.757,20.6207,,,,,,,,3761.125448,,
4,Alabama,1994,,,,2180001.0,,,,80680540.0,18938.0,72235176.0,16956.0,28865.0,,683.7,,,,,,,11.9242,372.773,15.5156,,,,,,,,4036.531519,,
5,Alabama,1995,,,,2241551.0,,,,85362072.0,19866.0,76251837.0,17746.0,29477.0,,632.4,,,,,,,74.1947,341.719,14.2432,,,746149.0,,,,,4404.7738020000015,,
6,Alabama,1996,,23400.0,,2275108.0,,,,89084446.0,20569.0,79270413.0,18303.0,30276.0,,565.4,,,,,,,191.776,304.057,12.1909,,,,,,,,4716.1651200000015,,
7,Alabama,1997,,24600.0,,2321253.0,,,,93822199.0,21480.0,83209782.0,19050.0,31242.0,,564.5,,,,,,,199.27,275.439,9.3866,,,,,,,,4903.287886,656185.0,
8,Alabama,1998,,25300.0,,2361174.0,,65.0,12601.0,99767737.0,22650.0,88543240.0,20102.0,32286.0,,512.1,,,,,,,228.506,289.168,6.2206,,,,,,,,5165.557704,,
9,Alabama,1999,,27200.0,,2377407.0,,77.0,12622.0,103105812.0,23274.0,91373205.0,20625.0,33571.0,,490.2,,,,1011.3899,1030.8402,51.238,279.336,245.771,4.5597,,,,,,,,5511.622153,,
10,Alabama,2000,,29200.0,,2392880.0,18677.0,62.0,10562.0,108000944.0,24258.0,95835660.0,21526.0,34858.0,,486.2,,,445.525,1013.2896,1000.0503,40.9165,344.184,270.958,2.7628,72.24769383,19.0,739992.0,725212.0,48194.4,15.35431502,37819.0,5758.4286280000015,,
11,Alabama,2001,,31700.0,46000.0,2376024.0,,105.0,21712.0,111693478.0,25001.0,99171424.0,22198.0,36305.0,,438.2,,,467.84,1014.3176,921.3969,41.6867,325.001,250.218,3.1775,,,737190.0,702423.0,,,,6052.006243,,
12,Alabama,2002,,34300.0,45000.0,2366944.0,,74.0,15325.0,114176585.0,25485.0,103044970.0,23001.0,37648.0,15.5,445.0,,,470.374,1028.3055,914.1326,43.0229,347.954,225.521,3.3211,,,739366.0,701235.0,,,,6327.227883,590268.0,32476161.0
13,Alabama,2003,1689.0,36900.0,45000.0,2374124.0,,30.0,5200.0,119399497.0,26513.0,108702895.0,24137.0,39270.0,14.7,429.2,13.22,62.58,450.611,1037.3286,894.5037,40.4751,315.703,206.699,2.5329,,,731220.0,706446.0,,,,6642.056951,,
14,Alabama,2004,2247.0,39000.0,44000.0,2429239.0,,18.0,3588.0,128541881.0,28371.0,117548086.0,25945.0,40872.0,16.0,427.0,13.13,62.66,473.936,1017.9598,875.6597,44.7176,293.895,181.141,3.6422,,,730140.0,706446.0,,,36464.0,6812.238581999999,,
15,Alabama,2005,4200.0,42100.0,43500.0,2490744.0,,14.0,1639.0,136187496.0,29802.0,123310841.0,26984.0,42500.0,16.9,433.0,13.23,63.57,474.264,1030.4597,955.8428,36.7062,375.378,206.371,3.7079,,,741761.0,706588.0,57757.0,12.84279,37453.0,7308.9346799999985,,
16,Alabama,2006,4277.0,43900.0,43000.0,2550043.0,,52.0,9567.0,144954288.0,31315.0,130245408.0,28137.0,44028.0,16.6,425.2,13.66,66.14,478.04,1014.8454,938.7896,43.5704,498.257,231.897,6.9362,,,743632.0,714197.0,,13.24744,37918.0,7979.697645,,
17,Alabama,2007,3393.0,47900.0,48800.0,2608233.0,,39.0,7594.0,152246048.0,32581.0,136506740.0,29213.0,45498.0,16.9,448.9,13.8682,67.6118,488.453,999.3066,1018.9645,32.0144,543.514,235.206,8.2112,,,742919.0,714302.0,50420.0,14.77321,38912.0,8742.844262,573538.0,32412281.0
18,Alabama,2008,3877.0,48000.0,47600.0,2588028.0,,60.0,13237.0,157727573.0,33430.0,141779525.0,30049.0,47055.0,15.7,452.8,13.6802,67.1878,497.412,1011.1258,959.0071,38.585,531.114,208.928,9.6313,,,745668.0,731161.0,47818.0,15.59387678,41346.0,9344.643943,870795.0,
19,Alabama,2009,3891.0,54700.0,46800.0,2487389.0,,79.0,22102.0,155513766.0,32685.0,143065352.0,30069.0,48402.0,16.6,450.1,13.1307,64.9388,489.566,997.7011,836.6643,42.6896,550.661,159.237,8.8559,79.9278,22.004,748889.0,712179.0,47492.0,15.76874,42082.0,9385.060933,740114.0,
20,Alabama,2010,3740.0,56500.0,46000.0,2462162.0,,47.0,10752.0,161256950.0,33697.0,148031950.0,30933.0,49833.0,17.3,383.7,12.5635,62.5117,476.525,1005.0346,870.8539,32.6663,565.743,165.972,5.4396,,,755552.0,698208.0,49363.24,15.30596452,43166.0,9553.767228,789333.0,
21,Alabama,2011,4063.0,,45000.0,2500322.0,,41.0,9836.0,166595407.0,34708.0,151548127.0,31573.0,50917.0,15.4,419.8,12.3584,61.8152,464.271,1013.8438,822.8992,40.5024,616.856,190.141,4.7473,81.8309,22.4775,744621.0,709225.0,47722.67,15.60308759,46035.0,9295.956643,1113551.0,
22,Alabama,2012,3873.0,,43200.0,2504840.0,,44.0,8133.0,170881367.0,35482.0,156018286.0,32396.0,51251.0,16.2,449.9,12.1211,60.9466,,1023.3672,888.3982,38.4805,635.024,192.243,4.4794,84.4774,23.3559,744637.0,715402.0,51877.22,14.35383392,45394.0,8927.172899,1278732.0,32413454.0
23,Alabama,2013,3848.0,,43500.0,2524124.0,,,,172789879.0,35778.0,156649752.0,32436.0,51524.0,16.7,418.1,12.0336,60.606,,1038.3096,857.3042,34.7768,611.03,173.72400000000005,3.7951,81.9051,23.4545,746204.0,688614.0,47161.77,15.82222211,44233.0,9486.241132,1194288.0,
