"classification","state","component","industry","Unit","Date","Value"
"NAICS","Connecticut","Per capita real GDP by state","All industry total","chained 2009 dollars","1997","54740"
"NAICS","Connecticut","Per capita real GDP by state","All industry total","chained 2009 dollars","1998","56416"
"NAICS","Connecticut","Per capita real GDP by state","All industry total","chained 2009 dollars","1999","57724"
"NAICS","Connecticut","Per capita real GDP by state","All industry total","chained 2009 dollars","2000","61355"
"NAICS","Connecticut","Per capita real GDP by state","All industry total","chained 2009 dollars","2001","61872"
"NAICS","Connecticut","Per capita real GDP by state","All industry total","chained 2009 dollars","2002","61233"
"NAICS","Connecticut","Per capita real GDP by state","All industry total","chained 2009 dollars","2003","61419"
"NAICS","Connecticut","Per capita real GDP by state","All industry total","chained 2009 dollars","2004","65034"
"NAICS","Connecticut","Per capita real GDP by state","All industry total","chained 2009 dollars","2005","66032"
"NAICS","Connecticut","Per capita real GDP by state","All industry total","chained 2009 dollars","2006","67458"
"NAICS","Connecticut","Per capita real GDP by state","All industry total","chained 2009 dollars","2007","70096"
"NAICS","Connecticut","Per capita real GDP by state","All industry total","chained 2009 dollars","2008","68777"
"NAICS","Connecticut","Per capita real GDP by state","All industry total","chained 2009 dollars","2009","65574"
"NAICS","Connecticut","Per capita real GDP by state","All industry total","chained 2009 dollars","2010","64906"
"NAICS","Connecticut","Per capita real GDP by state","All industry total","chained 2009 dollars","2011","63638"
"NAICS","Connecticut","Per capita real GDP by state","All industry total","chained 2009 dollars","2012","63502"
"NAICS","Connecticut","Per capita real GDP by state","All industry total","chained 2009 dollars","2013","62550"
"NAICS","Connecticut","Per capita real GDP by state","All industry total","chained 2009 dollars","2014","62171"
"NAICS","Connecticut","Per capita real GDP by state","All industry total","chained 2009 dollars","2015","63464"
"NAICS","Connecticut","Per capita real GDP by state","All industry total","chained 2009 dollars","2016","63636"
"NAICS","Maine","Per capita real GDP by state","All industry total","chained 2009 dollars","1997","32967"
"NAICS","Maine","Per capita real GDP by state","All industry total","chained 2009 dollars","1998","33892"
"NAICS","Maine","Per capita real GDP by state","All industry total","chained 2009 dollars","1999","35300"
"NAICS","Maine","Per capita real GDP by state","All industry total","chained 2009 dollars","2000","36503"
"NAICS","Maine","Per capita real GDP by state","All industry total","chained 2009 dollars","2001","36995"
"NAICS","Maine","Per capita real GDP by state","All industry total","chained 2009 dollars","2002","37584"
"NAICS","Maine","Per capita real GDP by state","All industry total","chained 2009 dollars","2003","38136"
"NAICS","Maine","Per capita real GDP by state","All industry total","chained 2009 dollars","2004","39089"
"NAICS","Maine","Per capita real GDP by state","All industry total","chained 2009 dollars","2005","38961"
"NAICS","Maine","Per capita real GDP by state","All industry total","chained 2009 dollars","2006","39288"
"NAICS","Maine","Per capita real GDP by state","All industry total","chained 2009 dollars","2007","38946"
"NAICS","Maine","Per capita real GDP by state","All industry total","chained 2009 dollars","2008","38508"
"NAICS","Maine","Per capita real GDP by state","All industry total","chained 2009 dollars","2009","37910"
"NAICS","Maine","Per capita real GDP by state","All industry total","chained 2009 dollars","2010","38352"
"NAICS","Maine","Per capita real GDP by state","All industry total","chained 2009 dollars","2011","37780"
"NAICS","Maine","Per capita real GDP by state","All industry total","chained 2009 dollars","2012","37705"
"NAICS","Maine","Per capita real GDP by state","All industry total","chained 2009 dollars","2013","37477"
"NAICS","Maine","Per capita real GDP by state","All industry total","chained 2009 dollars","2014","38055"
"NAICS","Maine","Per capita real GDP by state","All industry total","chained 2009 dollars","2015","38415"
"NAICS","Maine","Per capita real GDP by state","All industry total","chained 2009 dollars","2016","38956"
"NAICS","Massachusetts","Per capita real GDP by state","All industry total","chained 2009 dollars","1997","47182"
"NAICS","Massachusetts","Per capita real GDP by state","All industry total","chained 2009 dollars","1998","48760"
"NAICS","Massachusetts","Per capita real GDP by state","All industry total","chained 2009 dollars","1999","50987"
"NAICS","Massachusetts","Per capita real GDP by state","All industry total","chained 2009 dollars","2000","54736"
"NAICS","Massachusetts","Per capita real GDP by state","All industry total","chained 2009 dollars","2001","55114"
"NAICS","Massachusetts","Per capita real GDP by state","All industry total","chained 2009 dollars","2002","55234"
"NAICS","Massachusetts","Per capita real GDP by state","All industry total","chained 2009 dollars","2003","56380"
"NAICS","Massachusetts","Per capita real GDP by state","All industry total","chained 2009 dollars","2004","57699"
"NAICS","Massachusetts","Per capita real GDP by state","All industry total","chained 2009 dollars","2005","58776"
"NAICS","Massachusetts","Per capita real GDP by state","All industry total","chained 2009 dollars","2006","59706"
"NAICS","Massachusetts","Per capita real GDP by state","All industry total","chained 2009 dollars","2007","60955"
"NAICS","Massachusetts","Per capita real GDP by state","All industry total","chained 2009 dollars","2008","60723"
"NAICS","Massachusetts","Per capita real GDP by state","All industry total","chained 2009 dollars","2009","59178"
"NAICS","Massachusetts","Per capita real GDP by state","All industry total","chained 2009 dollars","2010","60808"
"NAICS","Massachusetts","Per capita real GDP by state","All industry total","chained 2009 dollars","2011","61769"
"NAICS","Massachusetts","Per capita real GDP by state","All industry total","chained 2009 dollars","2012","62456"
"NAICS","Massachusetts","Per capita real GDP by state","All industry total","chained 2009 dollars","2013","61882"
"NAICS","Massachusetts","Per capita real GDP by state","All industry total","chained 2009 dollars","2014","62571"
"NAICS","Massachusetts","Per capita real GDP by state","All industry total","chained 2009 dollars","2015","64592"
"NAICS","Massachusetts","Per capita real GDP by state","All industry total","chained 2009 dollars","2016","65281"
"NAICS","New Hampshire","Per capita real GDP by state","All industry total","chained 2009 dollars","1997","39557"
"NAICS","New Hampshire","Per capita real GDP by state","All industry total","chained 2009 dollars","1998","41521"
"NAICS","New Hampshire","Per capita real GDP by state","All industry total","chained 2009 dollars","1999","42172"
"NAICS","New Hampshire","Per capita real GDP by state","All industry total","chained 2009 dollars","2000","44460"
"NAICS","New Hampshire","Per capita real GDP by state","All industry total","chained 2009 dollars","2001","44540"
"NAICS","New Hampshire","Per capita real GDP by state","All industry total","chained 2009 dollars","2002","45311"
"NAICS","New Hampshire","Per capita real GDP by state","All industry total","chained 2009 dollars","2003","46621"
"NAICS","New Hampshire","Per capita real GDP by state","All industry total","chained 2009 dollars","2004","47472"
"NAICS","New Hampshire","Per capita real GDP by state","All industry total","chained 2009 dollars","2005","48357"
"NAICS","New Hampshire","Per capita real GDP by state","All industry total","chained 2009 dollars","2006","48857"
"NAICS","New Hampshire","Per capita real GDP by state","All industry total","chained 2009 dollars","2007","48618"
"NAICS","New Hampshire","Per capita real GDP by state","All industry total","chained 2009 dollars","2008","47842"
"NAICS","New Hampshire","Per capita real GDP by state","All industry total","chained 2009 dollars","2009","47265"
"NAICS","New Hampshire","Per capita real GDP by state","All industry total","chained 2009 dollars","2010","48388"
"NAICS","New Hampshire","Per capita real GDP by state","All industry total","chained 2009 dollars","2011","48504"
"NAICS","New Hampshire","Per capita real GDP by state","All industry total","chained 2009 dollars","2012","48652"
"NAICS","New Hampshire","Per capita real GDP by state","All industry total","chained 2009 dollars","2013","48871"
"NAICS","New Hampshire","Per capita real GDP by state","All industry total","chained 2009 dollars","2014","49544"
"NAICS","New Hampshire","Per capita real GDP by state","All industry total","chained 2009 dollars","2015","50781"
"NAICS","New Hampshire","Per capita real GDP by state","All industry total","chained 2009 dollars","2016","51411"
"NAICS","New Jersey","Per capita real GDP by state","All industry total","chained 2009 dollars","1997","49643"
"NAICS","New Jersey","Per capita real GDP by state","All industry total","chained 2009 dollars","1998","50347"
"NAICS","New Jersey","Per capita real GDP by state","All industry total","chained 2009 dollars","1999","51571"
"NAICS","New Jersey","Per capita real GDP by state","All industry total","chained 2009 dollars","2000","53701"
"NAICS","New Jersey","Per capita real GDP by state","All industry total","chained 2009 dollars","2001","54000"
"NAICS","New Jersey","Per capita real GDP by state","All industry total","chained 2009 dollars","2002","54842"
"NAICS","New Jersey","Per capita real GDP by state","All industry total","chained 2009 dollars","2003","55897"
"NAICS","New Jersey","Per capita real GDP by state","All industry total","chained 2009 dollars","2004","56261"
"NAICS","New Jersey","Per capita real GDP by state","All industry total","chained 2009 dollars","2005","56768"
"NAICS","New Jersey","Per capita real GDP by state","All industry total","chained 2009 dollars","2006","57666"
"NAICS","New Jersey","Per capita real GDP by state","All industry total","chained 2009 dollars","2007","57860"
"NAICS","New Jersey","Per capita real GDP by state","All industry total","chained 2009 dollars","2008","57784"
"NAICS","New Jersey","Per capita real GDP by state","All industry total","chained 2009 dollars","2009","55067"
"NAICS","New Jersey","Per capita real GDP by state","All industry total","chained 2009 dollars","2010","55023"
"NAICS","New Jersey","Per capita real GDP by state","All industry total","chained 2009 dollars","2011","54302"
"NAICS","New Jersey","Per capita real GDP by state","All industry total","chained 2009 dollars","2012","55161"
"NAICS","New Jersey","Per capita real GDP by state","All industry total","chained 2009 dollars","2013","55750"
"NAICS","New Jersey","Per capita real GDP by state","All industry total","chained 2009 dollars","2014","55677"
"NAICS","New Jersey","Per capita real GDP by state","All industry total","chained 2009 dollars","2015","56241"
"NAICS","New Jersey","Per capita real GDP by state","All industry total","chained 2009 dollars","2016","56565"
"NAICS","New York","Per capita real GDP by state","All industry total","chained 2009 dollars","1997","49045"
"NAICS","New York","Per capita real GDP by state","All industry total","chained 2009 dollars","1998","50064"
"NAICS","New York","Per capita real GDP by state","All industry total","chained 2009 dollars","1999","52368"
"NAICS","New York","Per capita real GDP by state","All industry total","chained 2009 dollars","2000","53827"
"NAICS","New York","Per capita real GDP by state","All industry total","chained 2009 dollars","2001","55375"
"NAICS","New York","Per capita real GDP by state","All industry total","chained 2009 dollars","2002","55039"
"NAICS","New York","Per capita real GDP by state","All industry total","chained 2009 dollars","2003","54756"
"NAICS","New York","Per capita real GDP by state","All industry total","chained 2009 dollars","2004","56259"
"NAICS","New York","Per capita real GDP by state","All industry total","chained 2009 dollars","2005","58502"
"NAICS","New York","Per capita real GDP by state","All industry total","chained 2009 dollars","2006","59961"
"NAICS","New York","Per capita real GDP by state","All industry total","chained 2009 dollars","2007","60018"
"NAICS","New York","Per capita real GDP by state","All industry total","chained 2009 dollars","2008","58532"
"NAICS","New York","Per capita real GDP by state","All industry total","chained 2009 dollars","2009","59481"
"NAICS","New York","Per capita real GDP by state","All industry total","chained 2009 dollars","2010","61267"
"NAICS","New York","Per capita real GDP by state","All industry total","chained 2009 dollars","2011","61185"
"NAICS","New York","Per capita real GDP by state","All industry total","chained 2009 dollars","2012","62841"
"NAICS","New York","Per capita real GDP by state","All industry total","chained 2009 dollars","2013","62444"
"NAICS","New York","Per capita real GDP by state","All industry total","chained 2009 dollars","2014","63372"
"NAICS","New York","Per capita real GDP by state","All industry total","chained 2009 dollars","2015","64573"
