"region","indicator","Unit","Date","Value"
"Alabama","18- to 24-Year-Olds Who Were High School Completers","Percent","2000","72.2476938282451"
"Alabama","18- to 24-Year-Olds Who Were High School Completers","Percent","2009","79.9278"
"Alabama","18- to 24-Year-Olds Who Were High School Completers","Percent","2011","81.8309"
"Alabama","18- to 24-Year-Olds Who Were High School Completers","Percent","2012","84.4774"
"Alabama","18- to 24-Year-Olds Who Were High School Completers","Percent","2013","81.9051"
"Alabama","18- to 24-Year-Olds Who Were High School Completers","Percent","2014","84.6216"
"Alabama","Population 25 Years Old and Over Who Have Bachelor's or Higher Degree","Percent","2000","19"
"Alabama","Population 25 Years Old and Over Who Have Bachelor's or Higher Degree","Percent","2009","22.004"
"Alabama","Population 25 Years Old and Over Who Have Bachelor's or Higher Degree","Percent","2011","22.4775"
"Alabama","Population 25 Years Old and Over Who Have Bachelor's or Higher Degree","Percent","2012","23.3559"
"Alabama","Population 25 Years Old and Over Who Have Bachelor's or Higher Degree","Percent","2013","23.4545"
"Alabama","Population 25 Years Old and Over Who Have Bachelor's or Higher Degree","Percent","2014","14.542"
"Alabama","Enrollment in Public Elementary and Secondary Schools","Number","1990","721806"
"Alabama","Enrollment in Public Elementary and Secondary Schools","Number","1995","746149"
"Alabama","Enrollment in Public Elementary and Secondary Schools","Number","2000","739992"
"Alabama","Enrollment in Public Elementary and Secondary Schools","Number","2001","737190"
"Alabama","Enrollment in Public Elementary and Secondary Schools","Number","2002","739366"
"Alabama","Enrollment in Public Elementary and Secondary Schools","Number","2003","731220"
"Alabama","Enrollment in Public Elementary and Secondary Schools","Number","2004","730140"
"Alabama","Enrollment in Public Elementary and Secondary Schools","Number","2005","741761"
"Alabama","Enrollment in Public Elementary and Secondary Schools","Number","2006","743632"
"Alabama","Enrollment in Public Elementary and Secondary Schools","Number","2007","742919"
"Alabama","Enrollment in Public Elementary and Secondary Schools","Number","2008","745668"
"Alabama","Enrollment in Public Elementary and Secondary Schools","Number","2009","748889"
"Alabama","Enrollment in Public Elementary and Secondary Schools","Number","2010","755552"
"Alabama","Enrollment in Public Elementary and Secondary Schools","Number","2011","744621"
"Alabama","Enrollment in Public Elementary and Secondary Schools","Number","2012","744637"
"Alabama","Enrollment in Public Elementary and Secondary Schools","Number","2013","746204"
"Alabama","Enrollment in Public Elementary and Secondary Schools","Number","2014","743900"
"Alabama","Enrollment in Public Elementary and Secondary Schools","Number","2015","741100"
"Alabama","Enrollment in Public Elementary and Secondary Schools","Number","2016","739500"
"Alabama","Average Daily Attendance in Public Elementary and Secondary Schools","Number","1990","683833"
"Alabama","Average Daily Attendance in Public Elementary and Secondary Schools","Number","2000","725212"
"Alabama","Average Daily Attendance in Public Elementary and Secondary Schools","Number","2001","702423"
"Alabama","Average Daily Attendance in Public Elementary and Secondary Schools","Number","2002","701235"
"Alabama","Average Daily Attendance in Public Elementary and Secondary Schools","Number","2003","706446"
"Alabama","Average Daily Attendance in Public Elementary and Secondary Schools","Number","2004","706446"
"Alabama","Average Daily Attendance in Public Elementary and Secondary Schools","Number","2005","706588"
"Alabama","Average Daily Attendance in Public Elementary and Secondary Schools","Number","2006","714197"
"Alabama","Average Daily Attendance in Public Elementary and Secondary Schools","Number","2007","714302"
"Alabama","Average Daily Attendance in Public Elementary and Secondary Schools","Number","2008","731161"
"Alabama","Average Daily Attendance in Public Elementary and Secondary Schools","Number","2009","712179"
"Alabama","Average Daily Attendance in Public Elementary and Secondary Schools","Number","2010","698208"
"Alabama","Average Daily Attendance in Public Elementary and Secondary Schools","Number","2011","709225"
"Alabama","Average Daily Attendance in Public Elementary and Secondary Schools","Number","2012","715402"
"Alabama","Average Daily Attendance in Public Elementary and Secondary Schools","Number","2013","688614"
"Alabama","Average Daily Attendance in Public Elementary and Secondary Schools","Number","2014","706566"
"Alabama","Public Elementary and Secondary Teachers","Number","2000","48194.4"
"Alabama","Public Elementary and Secondary Teachers","Number","2005","57757"
"Alabama","Public Elementary and Secondary Teachers","Number","2007","50420"
"Alabama","Public Elementary and Secondary Teachers","Number","2008","47818"
"Alabama","Public Elementary and Secondary Teachers","Number","2009","47492"
"Alabama","Public Elementary and Secondary Teachers","Number","2010","49363.24"
"Alabama","Public Elementary and Secondary Teachers","Number","2011","47722.67"
"Alabama","Public Elementary and Secondary Teachers","Number","2012","51877.22"
"Alabama","Public Elementary and Secondary Teachers","Number","2013","47161.77"
"Alabama","Public Elementary and Secondary Teachers","Number","2014","42736.79"
"Alabama","Pupil/Teacher Ratios in Public Elementary and Secondary Schools","Rate","2000","15.3543150241522"
"Alabama","Pupil/Teacher Ratios in Public Elementary and Secondary Schools","Rate","2005","12.84279"
"Alabama","Pupil/Teacher Ratios in Public Elementary and Secondary Schools","Rate","2006","13.24744"
"Alabama","Pupil/Teacher Ratios in Public Elementary and Secondary Schools","Rate","2007","14.77321"
