"region","indicator","Unit","Date","Value"
"Connecticut","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","1998","14.4"
"Connecticut","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","1999","15.2"
"Connecticut","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2000","13.7"
"Connecticut","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2001","13.6"
"Connecticut","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2002","13.3"
"Connecticut","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2003","13.8"
"Connecticut","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2004","14.4"
"Connecticut","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2005","14.6"
"Connecticut","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2006","16.6"
"Connecticut","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2007","14.9"
"Connecticut","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2008","15.4"
"Connecticut","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2009","14.6"
"Connecticut","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2010","16.2"
"Connecticut","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2011","14.2"
"Connecticut","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2012","13.9"
"Connecticut","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2013","14.2"
"Connecticut","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2014","14.7"
"Connecticut","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2015","14.2"
"Connecticut","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2016","14.9"
"Maine","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","1998","21.1"
"Maine","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","1999","20.4"
"Maine","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2000","19.8"
"Maine","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2001","20.4"
"Maine","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2002","18.5"
"Maine","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2003","17.7"
"Maine","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2004","17"
"Maine","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2005","17.4"
"Maine","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2006","17.5"
"Maine","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2007","18.9"
"Maine","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2008","18.8"
"Maine","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2009","17.6"
"Maine","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2010","13.7"
"Maine","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2011","13.7"
"Maine","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2012","13.1"
"Maine","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2013","16.9"
"Maine","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2014","17"
"Maine","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2015","17.6"
"Maine","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2016","17.2"
"Massachusetts","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","1998","14.2"
"Massachusetts","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","1999","15.1"
"Massachusetts","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2000","16.7"
"Massachusetts","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2001","16.7"
"Massachusetts","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2002","18.2"
"Massachusetts","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2003","18.4"
"Massachusetts","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2004","20.4"
"Massachusetts","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2005","20.3"
"Massachusetts","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2006","13.9"
"Massachusetts","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2007","13.9"
"Massachusetts","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2008","14.1"
"Massachusetts","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2009","13"
"Massachusetts","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2010","12.7"
"Massachusetts","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2011","11.6"
"Massachusetts","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2012","11.1"
"Massachusetts","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2013","11.9"
"Massachusetts","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2014","11.8"
"Massachusetts","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2015","11.6"
"Massachusetts","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2016","11.3"
"New Hampshire","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","1998","8.8"
"New Hampshire","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","1999","8.6"
"New Hampshire","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2000","28.7"
"New Hampshire","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2001","29.1"
"New Hampshire","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2002","28.3"
"New Hampshire","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2003","27.5"
"New Hampshire","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2004","24.6"
"New Hampshire","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2005","21.9"
"New Hampshire","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2006","22.5"
"New Hampshire","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2007","22.5"
"New Hampshire","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2008","22.2"
"New Hampshire","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2009","22.4"
"New Hampshire","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2010","19"
"New Hampshire","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2011","22.3"
"New Hampshire","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2012","23.5"
"New Hampshire","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2013","23.4"
"New Hampshire","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2014","22.2"
"New Hampshire","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2015","20.7"
"New Hampshire","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2016","19.6"
"Rhode Island","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","1998","16.2"
"Rhode Island","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","1999","16.2"
"Rhode Island","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2000","16.1"
"Rhode Island","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2001","15.8"
"Rhode Island","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2002","15.4"
"Rhode Island","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2003","16"
"Rhode Island","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2004","15.9"
"Rhode Island","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2005","16.2"
"Rhode Island","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2006","15.4"
"Rhode Island","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2007","16"
"Rhode Island","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2008","15.4"
"Rhode Island","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2009","14.9"
"Rhode Island","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2010","14.1"
"Rhode Island","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2011","14.4"
"Rhode Island","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2012","14.2"
"Rhode Island","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2013","14"
"Rhode Island","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2014","13.4"
"Rhode Island","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2015","14.5"
"Rhode Island","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2016","14.9"
"Vermont","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","1998","18.1"
"Vermont","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","1999","20.1"
"Vermont","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2000","20.5"
"Vermont","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2001","31"
"Vermont","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2002","31.4"
"Vermont","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2003","38"
"Vermont","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2004","31.6"
"Vermont","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2005","35.5"
"Vermont","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2006","25.6"
"Vermont","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2007","26.2"
"Vermont","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2008","26.4"
"Vermont","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2009","26.2"
"Vermont","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2010","33"
"Vermont","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2011","31.9"
"Vermont","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2012","31.1"
"Vermont","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2013","32"
"Vermont","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2014","31.7"
"Vermont","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2015","31.8"
"Vermont","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2016","31.9"
"Delaware","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","1998","23.1"
"Delaware","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","1999","21.9"
"Delaware","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2000","22.3"
"Delaware","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2001","23.4"
"Delaware","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2002","24"
"Delaware","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2003","24.7"
"Delaware","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2004","31.8"
"Delaware","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2005","26.6"
"Delaware","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2006","24.1"
"Delaware","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2007","24.1"
"Delaware","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2008","23.1"
"Delaware","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2009","23.7"
"Delaware","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2010","23.8"
"Delaware","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2011","24.5"
"Delaware","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2012","24.6"
"Delaware","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2013","24.3"
"Delaware","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2014","24.1"
"Delaware","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2015","23.9"
"Delaware","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2016","23.5"
"Maryland","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","1998","18"
"Maryland","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","1999","17.9"
"Maryland","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2000","17.5"
"Maryland","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2001","16.6"
"Maryland","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2002","17.1"
"Maryland","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2003","18.1"
"Maryland","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2004","18"
"Maryland","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2005","18.4"
"Maryland","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2006","18.6"
"Maryland","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2007","18.7"
"Maryland","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2008","20.5"
"Maryland","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2009","20.3"
"Maryland","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2010","21"
"Maryland","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2011","21"
"Maryland","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2012","19.5"
"Maryland","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2013","19.2"
"Maryland","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2014","18.8"
"Maryland","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2015","18.3"
"Maryland","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2016","18.1"
"New Jersey","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","1998","22.7"
"New Jersey","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","1999","23.7"
"New Jersey","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2000","22.5"
"New Jersey","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2001","22.6"
"New Jersey","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2002","22.3"
"New Jersey","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2003","22.7"
"New Jersey","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2004","24.4"
"New Jersey","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2005","23.6"
"New Jersey","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2006","24.3"
"New Jersey","Elementary and Secondary Education Expenditures As a Percent of Total Expenditures","%","2007","24.7"
