"location","indicator","Unit","Date","Value"
"Alabama","Number of Property Crimes Known to Police","numbers","1990","161838"
"Alabama","Number of Property Crimes Known to Police","numbers","1991","168864"
"Alabama","Number of Property Crimes Known to Police","numbers","1992","163966"
"Alabama","Number of Property Crimes Known to Police","numbers","1993","168182"
"Alabama","Number of Property Crimes Known to Police","numbers","1994","174589"
"Alabama","Number of Property Crimes Known to Police","numbers","1995","176956"
"Alabama","Number of Property Crimes Known to Police","numbers","1996","178716"
"Alabama","Number of Property Crimes Known to Police","numbers","1997","181702"
"Alabama","Number of Property Crimes Known to Police","numbers","1998","169703"
"Alabama","Number of Property Crimes Known to Police","numbers","1999","164060"
"Alabama","Number of Property Crimes Known to Police","numbers","2000","151127"
"Alabama","Number of Property Crimes Known to Police","numbers","2001","148080"
"Alabama","Number of Property Crimes Known to Police","numbers","2002","163873"
"Alabama","Number of Property Crimes Known to Police","numbers","2003","172698"
"Alabama","Number of Property Crimes Known to Police","numbers","2004","175546"
"Alabama","Number of Property Crimes Known to Police","numbers","2005","144264"
"Alabama","Number of Property Crimes Known to Police","numbers","2006","140765"
"Alabama","Number of Property Crimes Known to Police","numbers","2007","159419"
"Alabama","Number of Property Crimes Known to Police","numbers","2008","178595"
"Alabama","Number of Property Crimes Known to Police","numbers","2009","178007"
"Alabama","Number of Property Crimes Known to Police","numbers","2010","168828"
"Alabama","Number of Property Crimes Known to Police","numbers","2011","173192"
"Alabama","Number of Property Crimes Known to Police","numbers","2012","168878"
"Alabama","Number of Property Crimes Known to Police","numbers","2013","161835"
"Alabama","Number of Property Crimes Known to Police","numbers","2014","154094"
"Alabama","Number of Property Crimes Known to Police","numbers","2015","25447"
"Alabama","Number of Property Crimes Known to Police","numbers","2016","26232"
"Alaska","Number of Property Crimes Known to Police","numbers","1990","24338"
"Alaska","Number of Property Crimes Known to Police","numbers","1991","27304"
"Alaska","Number of Property Crimes Known to Police","numbers","1992","28394"
"Alaska","Number of Property Crimes Known to Police","numbers","1993","27479"
"Alaska","Number of Property Crimes Known to Police","numbers","1994","28367"
"Alaska","Number of Property Crimes Known to Police","numbers","1995","26654"
"Alaska","Number of Property Crimes Known to Police","numbers","1996","25087"
"Alaska","Number of Property Crimes Known to Police","numbers","1997","22997"
"Alaska","Number of Property Crimes Known to Police","numbers","1998","20880"
"Alaska","Number of Property Crimes Known to Police","numbers","1999","20783"
"Alaska","Number of Property Crimes Known to Police","numbers","2000","21074"
"Alaska","Number of Property Crimes Known to Police","numbers","2001","21300"
"Alaska","Number of Property Crimes Known to Police","numbers","2002","22909"
"Alaska","Number of Property Crimes Known to Police","numbers","2003","23791"
"Alaska","Number of Property Crimes Known to Police","numbers","2004","21605"
"Alaska","Number of Property Crimes Known to Police","numbers","2005","23460"
"Alaska","Number of Property Crimes Known to Police","numbers","2006","23100"
"Alaska","Number of Property Crimes Known to Police","numbers","2007","22501"
"Alaska","Number of Property Crimes Known to Police","numbers","2008","19789"
"Alaska","Number of Property Crimes Known to Police","numbers","2009","20538"
"Alaska","Number of Property Crimes Known to Police","numbers","2010","20259"
"Alaska","Number of Property Crimes Known to Police","numbers","2011","19094"
"Alaska","Number of Property Crimes Known to Police","numbers","2012","20037"
