"region","series","Unit","Date","Value"
"Alabama","Per Capita Personal Income, NSA","$","1992","17537"
"Alabama","Per Capita Personal Income, NSA","$","1993","18082"
"Alabama","Per Capita Personal Income, NSA","$","1994","18938"
"Alabama","Per Capita Personal Income, NSA","$","1995","19866"
"Alabama","Per Capita Personal Income, NSA","$","1996","20569"
"Alabama","Per Capita Personal Income, NSA","$","1997","21480"
"Alabama","Per Capita Personal Income, NSA","$","1998","22650"
"Alabama","Per Capita Personal Income, NSA","$","1999","23274"
"Alabama","Per Capita Personal Income, NSA","$","2000","24258"
"Alabama","Per Capita Personal Income, NSA","$","2001","25001"
"Alabama","Per Capita Personal Income, NSA","$","2002","25485"
"Alabama","Per Capita Personal Income, NSA","$","2003","26513"
"Alabama","Per Capita Personal Income, NSA","$","2004","28371"
"Alabama","Per Capita Personal Income, NSA","$","2005","29802"
"Alabama","Per Capita Personal Income, NSA","$","2006","31315"
"Alabama","Per Capita Personal Income, NSA","$","2007","32581"
"Alabama","Per Capita Personal Income, NSA","$","2008","33430"
"Alabama","Per Capita Personal Income, NSA","$","2009","32685"
"Alabama","Per Capita Personal Income, NSA","$","2010","33696"
"Alabama","Per Capita Personal Income, NSA","$","2011","34717"
"Alabama","Per Capita Personal Income, NSA","$","2012","35497"
"Alabama","Per Capita Personal Income, NSA","$","2013","35792"
"Alabama","Per Capita Personal Income, NSA","$","2014","36903"
"Alabama","Per Capita Personal Income, NSA","$","2015","38238"
"Alabama","Per Capita Personal Income, NSA","$","2016","38918"
"Alaska","Per Capita Personal Income, NSA","$","1992","23938"
"Alaska","Per Capita Personal Income, NSA","$","1993","24753"
"Alaska","Per Capita Personal Income, NSA","$","1994","25404"
"Alaska","Per Capita Personal Income, NSA","$","1995","26041"
"Alaska","Per Capita Personal Income, NSA","$","1996","26565"
"Alaska","Per Capita Personal Income, NSA","$","1997","27812"
"Alaska","Per Capita Personal Income, NSA","$","1998","28771"
"Alaska","Per Capita Personal Income, NSA","$","1999","29498"
"Alaska","Per Capita Personal Income, NSA","$","2000","31651"
"Alaska","Per Capita Personal Income, NSA","$","2001","33108"
"Alaska","Per Capita Personal Income, NSA","$","2002","34271"
