"region","indicator","Unit","Date","Value"
"Alabama","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1990","35.2094"
"Alabama","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1991","38.8861"
"Alabama","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1992","24.3379"
"Alabama","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1993","20.6207"
"Alabama","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1994","15.5156"
"Alabama","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1995","14.2432"
"Alabama","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1996","12.1909"
"Alabama","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1997","9.3866"
"Alabama","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1998","6.2206"
"Alabama","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1999","4.5597"
"Alabama","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2000","2.7628"
"Alabama","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2001","3.1775"
"Alabama","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2002","3.3211"
"Alabama","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2003","2.5329"
"Alabama","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2004","3.6422"
"Alabama","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2005","3.7079"
"Alabama","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2006","6.9362"
"Alabama","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2007","8.2112"
"Alabama","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2008","9.6313"
"Alabama","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2009","8.8559"
"Alabama","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2010","5.4396"
"Alabama","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2011","4.7473"
"Alabama","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2012","4.4794"
"Alabama","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2013","3.7951"
"Alaska","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1990","2.7111"
"Alaska","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1991","1.2276"
"Alaska","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1992","0.8493"
"Alaska","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1993","1.8351"
"Alaska","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1994","0.4973"
"Alaska","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1995","0.3309"
"Alaska","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1997","0.1631"
"Alaska","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1998","0.1613"
"Alaska","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1999","0.1601"
"Alaska","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2003","0.1541"
"Alaska","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2004","1.2206"
"Alaska","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2005","1.3561"
"Alaska","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2006","1.6417"
"Alaska","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2007","1.0242"
"Alaska","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2008","0.1457"
"Alaska","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2010","0.4224"
"Alaska","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2011","0.6918"
"Alaska","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2012","1.5039"
"Alaska","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2013","3.1444"
"Arizona","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1990","16.992"
"Arizona","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1991","8.816"
"Arizona","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1992","4.035"
"Arizona","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1993","2.3368"
"Arizona","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1994","1.1778"
"Arizona","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1995","1.0378"
"Arizona","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1996","2.2237"
"Arizona","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1997","2.7866"
"Arizona","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1998","3.7884"
"Arizona","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1999","4.2199"
"Arizona","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2000","3.6577"
"Arizona","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2001","3.3918"
"Arizona","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2002","3.6654"
"Arizona","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2003","3.3328"
"Arizona","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2004","2.7334"
"Arizona","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2005","2.9465"
"Arizona","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2006","3.2921"
"Arizona","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2007","4.6697"
"Arizona","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2008","4.8768"
"Arizona","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2009","3.5022"
"Arizona","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2010","3.5982"
"Arizona","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2011","4.2268"
"Arizona","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2012","3.0824"
"Arizona","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2013","4.3795"
"Arkansas","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1990","26.6063"
"Arkansas","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1991","37.5554"
"Arkansas","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1992","36.6724"
"Arkansas","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1993","22.7578"
"Arkansas","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1994","17.8828"
"Arkansas","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1995","19.5236"
"Arkansas","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1996","10.1862"
"Arkansas","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1997","6.6511"
"Arkansas","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1998","4.1123"
"Arkansas","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1999","3.2807"
"Arkansas","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2000","3.8825"
"Arkansas","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2001","1.8184"
"Arkansas","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2002","1.2546"
"Arkansas","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2003","1.8711"
"Arkansas","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2004","1.7075"
"Arkansas","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2005","1.8711"
"Arkansas","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2006","2.7394"
"Arkansas","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2007","4.3037"
"Arkansas","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2008","7.2144"
"Arkansas","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2009","9.5174"
"Arkansas","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2010","7.0304"
"Arkansas","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2011","6.1947"
"Arkansas","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2012","5.8661"
"Arkansas","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2013","6.0018"
"California","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1990","15.2239"
"California","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1991","8.7592"
"California","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1992","5.1235"
"California","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1993","3.5268"
"California","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1994","2.6076"
"California","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1995","1.8425"
"California","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1996","1.5897"
"California","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1997","1.1882"
"California","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1998","0.9913"
"California","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1999","0.8448"
"California","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2000","0.9556"
"California","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2001","1.5751"
"California","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2002","2.9417"
"California","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2003","3.6608"
"California","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2004","3.7778"
"California","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2005","4.3867"
"California","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2006","5.0332"
"California","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2007","5.5754"
"California","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2008","5.9962"
"California","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2009","5.1405"
"California","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2010","5.543"
"California","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2011","6.4815"
"California","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2012","7.7626"
"California","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2013","9.2846"
"Colorado","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1990","1.6628"
"Colorado","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1991","2.3619"
"Colorado","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1992","1.7735"
"Colorado","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1993","2.4905"
"Colorado","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1994","3.3833"
"Colorado","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1995","2.6132"
"Colorado","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1996","0.6633"
"Colorado","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1997","0.3733"
"Colorado","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1998","0.2429"
"Colorado","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1999","0.1893"
"Colorado","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2000","0.2542"
"Colorado","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2001","0.5191"
"Colorado","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2002","1.4202"
"Colorado","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2003","0.857"
"Colorado","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2004","1.3692"
