"region","series","Unit","Date","Value"
"Alabama","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1992","164779"
"Alabama","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1993","189506"
"Alabama","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1994","218131"
"Alabama","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1995","236279"
"Alabama","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1996","217616"
"Alabama","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1997","226616"
"Alabama","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1998","243803"
"Alabama","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1999","233024"
"Alabama","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2000","243099"
"Alabama","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2001","201533"
"Alabama","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2002","322636"
"Alabama","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2003","242411"
"Alabama","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2004","292051"
"Alabama","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2005","397308"
"Alabama","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2006","558768"
"Alabama","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2007","505886"
"Alabama","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2008","524808"
"Alabama","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2009","493972"
"Alabama","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2010","428245"
"Alabama","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2011","301178"
"Alabama","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2012","413253"
"Alabama","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2013","382202"
"Alabama","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2014","406408"
"Alabama","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2015","533586"
"Alabama","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2016","376680"
"Alaska","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1992","200025"
"Alaska","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1993","872260"
"Alaska","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1994","176070"
"Alaska","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1995","528005"
"Alaska","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1996","326270"
"Alaska","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1997","331337"
"Alaska","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1998","275758"
"Alaska","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1999","211811"
"Alaska","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2000","438438"
"Alaska","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2001","400442"
"Alaska","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2002","269273"
"Alaska","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2003","207075"
"Alaska","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2004","339564"
"Alaska","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2005","588694"
"Alaska","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2006","821664"
"Alaska","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2007","813762"
"Alaska","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2008","1297513"
"Alaska","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2009","632123"
"Alaska","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2010","643068"
"Alaska","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2011","720733"
"Alaska","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2012","663144"
"Alaska","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2013","630941"
"Alaska","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2014","408938"
"Alaska","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2015","227852"
"Alaska","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2016","212252"
"Arizona","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1992","210824"
"Arizona","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1993","244856"
"Arizona","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1994","303239"
"Arizona","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1995","417481"
"Arizona","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1996","448040"
"Arizona","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1997","600890"
"Arizona","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1998","528061"
"Arizona","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1999","545388"
"Arizona","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2000","523182"
"Arizona","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2001","541174"
"Arizona","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2002","346280"
"Arizona","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2003","389406"
"Arizona","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2004","525650"
"Arizona","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2005","701859"
"Arizona","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2006","890004"
"Arizona","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2007","986170"
"Arizona","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2008","784511"
"Arizona","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2009","592187"
"Arizona","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2010","413193"
"Arizona","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2011","560236"
"Arizona","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2012","647809"
"Arizona","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2013","662026"
"Arizona","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2014","575180"
"Arizona","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2015","690960"
"Arizona","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2016","570548"
"Arkansas","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1992","125525"
"Arkansas","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1993","153926"
"Arkansas","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1994","184281"
"Arkansas","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1995","191600"
"Arkansas","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1996","228801"
"Arkansas","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1997","229982"
"Arkansas","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1998","252870"
"Arkansas","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1999","212206"
"Arkansas","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2000","236969"
