"region","series","Unit","Date","Value"
"Alabama","Unemployment Rate, SA","%","1990M1","6.7"
"Alabama","Unemployment Rate, SA","%","1990M2","6.7"
"Alabama","Unemployment Rate, SA","%","1990M3","6.7"
"Alabama","Unemployment Rate, SA","%","1990M4","6.7"
"Alabama","Unemployment Rate, SA","%","1990M5","6.6"
"Alabama","Unemployment Rate, SA","%","1990M6","6.6"
"Alabama","Unemployment Rate, SA","%","1990M7","6.7"
"Alabama","Unemployment Rate, SA","%","1990M8","6.7"
"Alabama","Unemployment Rate, SA","%","1990M9","6.8"
"Alabama","Unemployment Rate, SA","%","1990M10","7"
"Alabama","Unemployment Rate, SA","%","1990M11","7.1"
"Alabama","Unemployment Rate, SA","%","1990M12","7.2"
"Alabama","Unemployment Rate, SA","%","1991M1","7.3"
"Alabama","Unemployment Rate, SA","%","1991M2","7.4"
"Alabama","Unemployment Rate, SA","%","1991M3","7.5"
"Alabama","Unemployment Rate, SA","%","1991M4","7.5"
"Alabama","Unemployment Rate, SA","%","1991M5","7.5"
"Alabama","Unemployment Rate, SA","%","1991M6","7.4"
"Alabama","Unemployment Rate, SA","%","1991M7","7.3"
"Alabama","Unemployment Rate, SA","%","1991M8","7.2"
"Alabama","Unemployment Rate, SA","%","1991M9","7.2"
"Alabama","Unemployment Rate, SA","%","1991M10","7.2"
"Alabama","Unemployment Rate, SA","%","1991M11","7.3"
"Alabama","Unemployment Rate, SA","%","1991M12","7.4"
"Alabama","Unemployment Rate, SA","%","1992M1","7.5"
"Alabama","Unemployment Rate, SA","%","1992M2","7.6"
"Alabama","Unemployment Rate, SA","%","1992M3","7.7"
"Alabama","Unemployment Rate, SA","%","1992M4","7.7"
"Alabama","Unemployment Rate, SA","%","1992M5","7.7"
"Alabama","Unemployment Rate, SA","%","1992M6","7.7"
"Alabama","Unemployment Rate, SA","%","1992M7","7.6"
"Alabama","Unemployment Rate, SA","%","1992M8","7.6"
"Alabama","Unemployment Rate, SA","%","1992M9","7.5"
"Alabama","Unemployment Rate, SA","%","1992M10","7.4"
"Alabama","Unemployment Rate, SA","%","1992M11","7.4"
"Alabama","Unemployment Rate, SA","%","1992M12","7.4"
"Alabama","Unemployment Rate, SA","%","1993M1","7.5"
"Alabama","Unemployment Rate, SA","%","1993M2","7.5"
"Alabama","Unemployment Rate, SA","%","1993M3","7.5"
"Alabama","Unemployment Rate, SA","%","1993M4","7.6"
"Alabama","Unemployment Rate, SA","%","1993M5","7.6"
"Alabama","Unemployment Rate, SA","%","1993M6","7.6"
"Alabama","Unemployment Rate, SA","%","1993M7","7.5"
